Run,Reference,,T_C,P_kbar,fO2_value,fO2_unit,fO2_comment,n_cpx,SiO2_Cpx,TiO2_Cpx,Al2O3_Cpx,FeO_Cpx,Fe2O3_Cpx,MnO_Cpx,MgO_Cpx,CaO_Cpx,Na2O_Cpx,K2O_Cpx,P2O5_Cpx,Cr2O3_Cpx,NiO_Cpx,SiO2_Cpx_sd,TiO2_Cpx_sd,Al2O3_Cpx_sd,FeO_Cpx_sd,Fe2O3_Cpx_sd,MnO_Cpx_sd,MgO_Cpx_sd,CaO_Cpx_sd,Na2O_Cpx_sd,K2O_Cpx_sd,P2O5_Cpx_sd,Cr2O3_Cpx_sd,NiO_Cpx_sd,Cpx_sd,n_Liq,SiO2_Liq,TiO2_Liq,Al2O3_Liq,FeO_Liq,Fe2O3_Liq,MnO_Liq,MgO_Liq,CaO_Liq,Na2O_Liq,K2O_Liq,P2O5_Liq,Cr2O3_Liq,NiO_Liq,H2O_Liq,H2O_Method,UnnormalizedTotal_Liq,Total_100_norm,SiO2_Liq_sd,TiO2_Liq_sd,Al2O3_Liq_sd,FeO_Liq_sd,Fe2O3_Liq_sd,MnO_Liq_sd,MgO_Liq_sd,CaO_Liq_sd,Na2O_Liq_sd,K2O_Liq_sd,P2O5_Liq_sd,Cr2O3_Liq_sd,NiO_Liq_sd,SiO2_Start,TiO2_Start,Al2O3_Start,Cr2O3_Start,FeO_Start,Fe2O3_Start,MnO_Start,MgO_Start,CaO_Start,Na2O_Start,K2O_Start,P2O5_Start,NiO_Start,H2O_Start,H2O_sat,Bt_Frac,Amph_Frac,Phl_Frac,Ap_Frac,Liq_frac,H2O_measurement,Comments
38,Takahahshi_et_al_1998,,1300,20,,,,,"48,5","1,1","12,6","8,4",,"0,2","12,2","15,2","1,4",0,,,,,,,,,,,,,,,,,Sd not available,,"57,9","1,7","17,7",7,,"0,1","3,2","7,9","3,2","1,1",,0,0,,,,,,,,,,,,,,,,,,"50,76","1,48","16,02",0,"9,52",0,"0,14","8,23","10,77","2,29","0,39","0,19",0,,,,,,,,,
39,Takahahshi_et_al_1998,,1325,20,,,,,"49,7",1,"12,5","6,8",,"0,2","13,6","16,1","1,2",0,,,,,,,,,,,,,,,,,Sd not available,,"54,5","1,7","17,9","8,2",,"0,1","4,6","9,1",3,"0,8",,0,0,,,,,,,,,,,,,,,,,,"50,76","1,48","16,02",0,"9,52",0,"0,14","8,23","10,77","2,29","0,39","0,19",0,,,,,,,,,
49,Takahahshi_et_al_1998,,1400,30,,,,,52,1,"12,6","6,7",,"0,1",10,"15,2","2,9",0,,,,,,,,,,,,,,,,,Sd not available,,"60,2","2,3","15,4","6,5",,"0,1","2,9","8,3","2,9","1,3",,0,0,,,,,,,,,,,,,,,,,,"50,76","1,48","16,02",0,"9,52",0,"0,14","8,23","10,77","2,29","0,39","0,19",0,,,,,,,,,
50,Takahahshi_et_al_1998,,1420,30,,,,,"51,5","0,9","12,6","6,9",,"0,1","11,3","16,4","2,4",0,,,,,,,,,,,,,,,,,Sd not available,,59,"2,1",16,"6,7",,"0,1","3,3","8,4","3,2","1,2",,0,0,,,,,,,,,,,,,,,,,,"50,76","1,48","16,02",0,"9,52",0,"0,14","8,23","10,77","2,29","0,39","0,19",0,,,,,,,,,
43,Takahahshi_et_al_1998,,1350,"22,5",,,,,"48,8","0,8","12,2","7,7",,"0,3","13,6","15,1","1,1",0,,,,,,,,,,,,,,,,,Sd not available,,"52,4","1,7","17,2","10,4",,"0,1","5,7","9,2","2,6","0,6",,0,"0,02",,,,,,,,,,,,,,,,,,"50,76","1,48","16,02",0,"9,52",0,"0,14","8,23","10,77","2,29","0,39","0,19",0,,,,,,,,,
42,Takahahshi_et_al_1998,,1325,"22,5",,,,,"48,9","0,8","12,3","8,5",,"0,1","13,1","15,4","1,2",0,,,,,,,,,,,,,,,,,Sd not available,,53,"1,9","17,8","10,2",,"0,1","4,7","8,5","3,1","0,8",,0,0,,,,,,,,,,,,,,,,,,"50,76","1,48","16,02",0,"9,52",0,"0,14","8,23","10,77","2,29","0,39","0,19",0,,,,,,,,,
41,Takahahshi_et_al_1998,,1300,"22,5",,,,,"49,4","1,2",13,"12,2",,"0,1","11,8","12,5","1,8",0,,,,,,,,,,,,,,,,,Sd not available,,"58,1","2,7","15,5","8,6",,"0,2","2,6","6,8","2,9","1,8",,0,0,,,,,,,,,,,,,,,,,,"50,76","1,48","16,02",0,"9,52",0,"0,14","8,23","10,77","2,29","0,39","0,19",0,,,,,,,,,
1,Takahashi_1980,,1270,14,,,,,"53,67","0,48","4,48","8,77",,"0,21","25,72","5,43","0,41",0,,"0,33",,,,,,,,,,,,,,,,,"49,57","2,28","16,31","8,76",,"0,13","8,13","7,52","3,8","1,8",,"0,03",,,,"98,33",,,,,,,,,,,,,,,"47,47","2,43","17,15",0,"7,22","2,26","0,15","8,76","8,03","3,67","1,69","0,66","0,02",,,,,,,,,
8,Takahashi_1980,,1275,14,,,,,"49,54","1,13","8,16","5,66",,"0,16","17,84",15,"0,8","0,01",,0,,,,,,,,,,,,,,,,,"49,94","2,29","16,82","7,5",,"0,14","7,87","7,92","4,25","1,82",,"0,06",,,,"98,61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Takahashi_1986,,1325,10,,,,,"51,25","0,12","7,32","4,5",,0,"21,41","13,74","0,62",,,"0,92",,,,,,,,,,,,,,,,,"49,2","0,6","17,7","6,7",,"0,1","9,5","11,4","2,9",0,,"0,1",,,,"98,2",,,,,,,,,,,,,,,"44,48","0,16","3,59","0,31","8,1",0,"0,12","39,22","3,44","0,3","0,02","0,03","0,25",0,,,,,,,Anhydrous,
