Run,Reference,,T_C,P_kbar,fO2_value,fO2_unit,fO2_comment,n_cpx,SiO2_Cpx,TiO2_Cpx,Al2O3_Cpx,FeO_Cpx,Fe2O3_Cpx,MnO_Cpx,MgO_Cpx,CaO_Cpx,Na2O_Cpx,K2O_Cpx,P2O5_Cpx,Cr2O3_Cpx,NiO_Cpx,SiO2_Cpx_sd,TiO2_Cpx_sd,Al2O3_Cpx_sd,FeO_Cpx_sd,Fe2O3_Cpx_sd,MnO_Cpx_sd,MgO_Cpx_sd,CaO_Cpx_sd,Na2O_Cpx_sd,K2O_Cpx_sd,P2O5_Cpx_sd,Cr2O3_Cpx_sd,NiO_Cpx_sd,Cpx_sd,n_Liq,SiO2_Liq,TiO2_Liq,Al2O3_Liq,FeO_Liq,Fe2O3_Liq,MnO_Liq,MgO_Liq,CaO_Liq,Na2O_Liq,K2O_Liq,P2O5_Liq,Cr2O3_Liq,NiO_Liq,H2O_Liq,H2O_Method,UnnormalizedTotal_Liq,Total_100_norm,SiO2_Liq_sd,TiO2_Liq_sd,Al2O3_Liq_sd,FeO_Liq_sd,Fe2O3_Liq_sd,MnO_Liq_sd,MgO_Liq_sd,CaO_Liq_sd,Na2O_Liq_sd,K2O_Liq_sd,P2O5_Liq_sd,Cr2O3_Liq_sd,NiO_Liq_sd,SiO2_Start,TiO2_Start,Al2O3_Start,Cr2O3_Start,FeO_Start,Fe2O3_Start,MnO_Start,MgO_Start,CaO_Start,Na2O_Start,K2O_Start,P2O5_Start,NiO_Start,H2O_Start,H2O_sat,Bt_Frac,Amph_Frac,Phl_Frac,Ap_Frac,Liq_frac,H2O_measurement,Comments
MF11,Conte_et_al_2009,,1225,"0,001",,,,,"50,13","0,35","4,43","3,5",,"0,1","16,82","23,17","0,1",,,"0,6",,,,,,,,,,,,,,,sd not available,,49,"0,72",13,"6,6",,"0,17","10,2","14,6","1,4","3,9","0,34",,0,,,"99,93",,,,,,,,,,,,,,,"47,06","0,67","12,04",0,"7,54",0,"0,14","12,76","13,7","1,22","3,3","0,28",0,0,,,,,,,Anhydrous,
MF12,Conte_et_al_2009,,1160,"0,001",,,,,"48,52","0,66","6,93","5,54",,"0,08","14,58","23,26","0,22",,,"0,42",,,,,,,,,,,,,,,sd not available,,"49,9",1,"17,4",6,,"0,25","5,3","11,2","2,5",6,"0,49",,"0,01",,,"100,05",,,,,,,,,,,,,,,"47,06","0,67","12,04",0,"7,54",0,"0,14","12,76","13,7","1,22","3,3","0,28",0,0,,,,,,,Anhydrous,
MF16,Conte_et_al_2009,,1250,"0,001",,,,,"48,51","0,39","5,93","5,9",,"0,16","14,81","23,74","0,12",,,"0,41",,,,,,,,,,,,,,,sd not available,,"47,8","0,71","12,6","6,2",,"0,16","11,8","15,3","1,3","3,8","0,34",,0,,,"100,01",,,,,,,,,,,,,,,"47,06","0,67","12,04",0,"7,54",0,"0,14","12,76","13,7","1,22","3,3","0,28",0,0,,,,,,,Anhydrous,
MF18,Conte_et_al_2009,,1225,"0,001",,,,,"47,17","0,48","6,6","6,46",,"0,1","14,16","23,78","0,19",,,"0,38",,,,,,,,,,,,,,,sd not available,,"48,5","0,73","13,9","5,7",,"0,2",10,"14,2","1,8","4,6","0,43",,0,,,"100,06",,,,,,,,,,,,,,,"47,06","0,67","12,04",0,"7,54",0,"0,14","12,76","13,7","1,22","3,3","0,28",0,0,,,,,,,Anhydrous,
MF19,Conte_et_al_2009,,1160,"0,001",,,,,"44,94","0,81","8,84","9,1",,"0,08","12,21","24,21","0,3",,,"0,15",,,,,,,,,,,,,,,sd not available,,"49,4","0,68",18,"5,4",,"0,24","5,7","10,2","3,5","6,3","0,56",,0,,,"99,98",,,,,,,,,,,,,,,"47,06","0,67","12,04",0,"7,54",0,"0,14","12,76","13,7","1,22","3,3","0,28",0,0,,,,,,,Anhydrous,
MF23,Conte_et_al_2009,,1225,"0,001",,,,,"49,18","0,59","6,35","3,67",,"0,05","15,71","23,81","0,13",,,"0,3",,,,,,,,,,,,,,,sd not available,,"47,6","0,78",14,"6,4",,"0,23",9,"15,1","1,9","4,5","0,49",,0,,,100,,,,,,,,,,,,,,,"47,06","0,67","12,04",0,"7,54",0,"0,14","12,76","13,7","1,22","3,3","0,28",0,0,,,,,,,Anhydrous,
MF25,Conte_et_al_2009,,1160,"0,001",,,,,"48,13","0,71","7,83","5,07",,0,"14,59","24,22","0,24",,,"0,26",,,,,,,,,,,,,,,sd not available,,48,"0,83","17,3","6,3",,"0,44","5,8","11,6","3,1","5,8","0,8",,0,,,"99,97",,,,,,,,,,,,,,,"47,06","0,67","12,04",0,"7,54",0,"0,14","12,76","13,7","1,22","3,3","0,28",0,0,,,,,,,Anhydrous,
MF6,Conte_et_al_2009,,1225,"0,001",,,,,"47,34","0,42","5,97","7,65",,"0,02","14,37","23,34","0,16",,,"0,66",,,,,,,,,,,,,,,sd not available,,"49,9","0,73",13,"5,8",,"0,15","11,5","13,4","1,5","3,8","0,3",,0,,,"100,08",,,,,,,,,,,,,,,"47,06","0,67","12,04",0,"7,54",0,"0,14","12,76","13,7","1,22","3,3","0,28",0,0,,,,,,,Anhydrous,
MF7,Conte_et_al_2009,,1160,"0,001",,,,,"43,68","0,9","8,38","10,8",,"0,08","11,54","23,37","0,25",,,"0,38",,,,,,,,,,,,,,,sd not available,,"52,4","0,78","16,9","4,1",,"0,18","7,8","9,2","2,4","5,8","0,48",,0,,,"100,04",,,,,,,,,,,,,,,"47,06","0,67","12,04",0,"7,54",0,"0,14","12,76","13,7","1,22","3,3","0,28",0,0,,,,,,,Anhydrous,
PC106,Conte_et_al_2009,,1200,"9,7",,,,,"51,82","0,48","4,22","3,4",,"0,4","16,21","23,47","0,28",,,"0,38",,,,,,,,,,,,,,,sd not available,,"49,2","0,85","14,5","6,3",,"0,1","10,2","12,9","1,4","4,1","0,41",,0,,,"99,96",,,,,,,,,,,,,,,"47,06","0,67","12,04",0,"7,54",0,"0,14","12,76","13,7","1,22","3,3","0,28",0,3,,,,,,,Water added,
PC108,Conte_et_al_2009,,1200,10,,,,,"50,91","0,34","3,52","4,08",,0,"16,88","23,41","0,19",,,"0,38",,,,,,,,,,,,,,,sd not available,,"49,3","0,71","13,3","6,4",,"0,14","10,8",14,"1,4","3,6","0,33",,0,,,"99,98",,,,,,,,,,,,,,,"47,06","0,67","12,04",0,"7,54",0,"0,14","12,76","13,7","1,22","3,3","0,28",0,4,,,,,,,Water added,
PC111,Conte_et_al_2009,,1150,10,,,,,"50,24","0,37","4,4","4,62",,"0,17","15,75","23,52","0,35",,,"0,31",,,,,,,,,,,,,,,sd not available,,"50,9","0,78","15,2","6,5",,"0,19","8,8","11,8","1,9","3,5","0,42",,0,,,"99,99",,,,,,,,,,,,,,,"47,06","0,67","12,04",0,"7,54",0,"0,14","12,76","13,7","1,22","3,3","0,28",0,3,,,,,,,Water added,
PC112,Conte_et_al_2009,,1150,10,,,,,"50,37","0,23","3,63","4,82",,"0,12","16,4","23,34","0,26",,,"0,33",,,,,,,,,,,,,,,sd not available,,"51,2","0,77","14,3",7,,"0,13","8,3","14,3","1,5","2,1","0,39",,0,,,"99,99",,,,,,,,,,,,,,,"47,06","0,67","12,04",0,"7,54",0,"0,14","12,76","13,7","1,22","3,3","0,28",0,4,,,,,,,Water added,
PC184,Conte_et_al_2009,,1300,10,,,,,"51,33","0,29","3,64","3,29",,0,"16,73","23,5","0,28",,,"1,14",,,,,,,,,,,,,,,sd not available,,"48,8","0,68","12,8","6,9",,"0,12","11,6","13,8","1,4","3,6","0,38",,0,,,"100,08",,,,,,,,,,,,,,,"47,06","0,67","12,04",0,"7,54",0,"0,14","12,76","13,7","1,22","3,3","0,28",0,0,,,,,,,Anhydrous,
PC185,Conte_et_al_2009,,1275,10,,,,,"51,07","0,33","4,46","3,64",,"0,02","16,32","23,37","0,32",,,"0,78",,,,,,,,,,,,,,,sd not available,,"48,9","0,75","13,7","7,1",,"0,2","10,6","13,2","1,5","3,8","0,35",,0,,,"100,1",,,,,,,,,,,,,,,"47,06","0,67","12,04",0,"7,54",0,"0,14","12,76","13,7","1,22","3,3","0,28",0,0,,,,,,,Anhydrous,
PC187,Conte_et_al_2009,,1250,10,,,,,"50,03","0,47","6,67","4,84",,"0,1","15,07","22,81","0,37",,,"0,36",,,,,,,,,,,,,,,sd not available,,"49,1","0,8","15,9",8,,"0,18",8,"10,9","1,8","4,9","0,38",,0,,,"99,96",,,,,,,,,,,,,,,"47,06","0,67","12,04",0,"7,54",0,"0,14","12,76","13,7","1,22","3,3","0,28",0,0,,,,,,,Anhydrous,
PC188,Conte_et_al_2009,,1220,10,,,,,"48,63","0,62","8,02","5,61",,"0,15","14,19","22,59","0,42",,,"0,32",,,,,,,,,,,,,,,sd not available,,"49,3","0,82","16,5","8,2",,"0,26","7,1","9,5","2,1","5,7","0,49",,0,,,"99,97",,,,,,,,,,,,,,,"47,06","0,67","12,04",0,"7,54",0,"0,14","12,76","13,7","1,22","3,3","0,28",0,0,,,,,,,Anhydrous,
PC70,Conte_et_al_2009,,1300,10,,,,,"51,63","0,22","3,28","3,49",,"0,12","16,88","23,11","0,29",,,"0,42",,,,,,,,,,,,,,,sd not available,,"48,7","0,69","13,1",7,,"0,15","11,5","13,6","1,3","3,5","0,33",,0,,,"99,87",,,,,,,,,,,,,,,"47,06","0,67","12,04",0,"7,54",0,"0,14","12,76","13,7","1,22","3,3","0,28",0,0,,,,,,,Anhydrous,
PC73,Conte_et_al_2009,,1250,10,,,,,"49,56","0,42","5,76","5,03",,"0,18","15,53","22,96","0,37",,,"0,39",,,,,,,,,,,,,,,sd not available,,"49,1","0,79",16,"7,5",,"0,19","8,1","10,3","2,1","5,3","0,49",,0,,,"99,87",,,,,,,,,,,,,,,"47,06","0,67","12,04",0,"7,54",0,"0,14","12,76","13,7","1,22","3,3","0,28",0,0,,,,,,,Anhydrous,
PC75,Conte_et_al_2009,,1220,10,,,,,"48,52","0,61","6,69","5,73",,"0,11","14,36","22,45","0,43",,,"0,21",,,,,,,,,,,,,,,sd not available,,"49,4","0,79","17,9","8,1",,"0,2","6,3","7,8","2,4","6,6","0,46",,0,,,"99,95",,,,,,,,,,,,,,,"47,06","0,67","12,04",0,"7,54",0,"0,14","12,76","13,7","1,22","3,3","0,28",0,0,,,,,,,Anhydrous,
S-1,Dann_et_al_2001,,1175,"0,001",,,,28,"53,6","0,12","0,59",18,,"0,56","23,9","2,56","0,02",,,"0,46",,"0,40","0,02","0,09","0,40",,"0,03","0,30","0,15","0,02",,,"0,08",,,,"50,9","1,05","8,16","19,3",,"0,43","7,24",10,"1,02","0,18","0,9","0,13",,,,"99,31",,,,,,,,,,,,,,,"50,8",1,"7,89",0,"19,68",0,"7,84","0,5","9,74","1,45","0,2","0,9",0,0,,,,,,,Anhydrous,
S-11,Dann_et_al_2001,,1100,"0,001",,,,11,52,"0,17","1,12","22,3",,"0,61","17,9","5,82","0,02",,,"0,18",,"0,50","0,04","0,29","0,70",,"0,03","0,70","1,34","0,02",,,"0,07",,,,"51,1","1,32","10,8","18,2",,"0,41","3,83","10,3","1,45","0,22","0,83","0,05",,,,"98,51",,,,,,,,,,,,,,,"50,8",1,"7,89",0,"19,68",0,"7,84","0,5","9,74","1,45","0,2","0,9",0,0,,,,,,,Anhydrous,
S-12,Dann_et_al_2001,,1044,2,,,,17,"52,1","0,23","0,84","12,7",,"0,47","15,9","16,6","0,11",,,"0,34",,"0,70","0,04","0,16","1,40",,"0,07","0,80","0,20","0,05",,,"0,07",,,,"49,09","1,09","8,9","17,26",,"0,38","5,18","8,93","1,11","0,17","0,68","0,01",,,,"92,8",,,,,,,,,,,,,,,"50,8",1,"7,89",0,"19,68",0,"7,84","0,5","9,74","1,45","0,2","0,9",0,,,,,,,,25 ul,
S-16,Dann_et_al_2001,,1080,1,,,,16,"53,3","0,14","0,51","18,1",,"0,59","23,3","3,19","0,01",,,"0,28",,"0,60","0,05","0,23","0,70",,"0,05","1,16","0,74","0,02",,,"0,08",,,,"48,15",1,"7,86","17,52",,"0,44","6,4","9,36","0,88","0,14","0,87","0,03",,,,"92,65",,,,,,,,,,,,,,,"50,8",1,"7,89",0,"19,68",0,"7,84","0,5","9,74","1,45","0,2","0,9",0,,,,,,,,15 ul,
S-17,Dann_et_al_2001,,1040,1,,,,4,"50,90","0,28","1,02","16,60",,"0,56","16,20","12,70","0,06",,,"0,24",,"0,30","0,04","0,19","1,90",,"0,05","0,80","2,70","0,02",,,"0,05",,,,"50,17","1,17","10,22","17,09",,"0,42","3,38","8,38","0,61","0,18","1,19","0,02",,,,"92,83",,,,,,,,,,,,,,,"50,8",1,"7,89",0,"19,68",0,"7,84","0,5","9,74","1,45","0,2","0,9",0,,,,,,,,15 ul,
S-18,Dann_et_al_2001,,980,1,,,,3,"51,50","0,27","2,05","19,60",,"0,69","14,40","10,80","0,05",,,"0,04",,"0,70","0,05","0,40","0,40",,"0,05","0,50","0,82","0,02",,,"0,02",,,,"56,49","0,68","13,22","11,13",,"0,34","2,51","7,92","1,67","0,34","0,77","0,02",,,,"95,09",,,,,,,,,,,,,,,"50,8",1,"7,89",0,"19,68",0,"7,84","0,5","9,74","1,45","0,2","0,9",0,,,,,,,,15 ul,
S-19,Dann_et_al_2001,,960,2,,,,18,"50,10","0,38","2,13","19,20",,"0,60","12,70","13,90","0,09",,,"0,07",,"0,90","0,07","0,54","1,10",,"0,05","0,90","0,92","0,03",,,"0,02",,,,"58,25","0,63","13,37","9,82",,"0,26","1,84","6,85","1,7","0,38","0,51","0,01",,,,"93,62",,,,,,,,,,,,,,,"50,8",1,"7,89",0,"19,68",0,"7,84","0,5","9,74","1,45","0,2","0,9",0,,,,,,,,25 ul,
S-2,Dann_et_al_2001,,1160,"0,001",,,,12,"53,2","0,12","0,53","18,8",,"0,55","22,8","3,28","0,02",,,"0,3",,"0,50","0,03","0,17","0,40",,"0,03","0,40","0,38","0,02",,,"0,60",,,,"51,8","1,14","8,47","19,9",,"0,48","5,57","10,4","1,11","0,17","0,92","0,08",,,,"100,04",,,,,,,,,,,,,,,"50,8",1,"7,89",0,"19,68",0,"7,84","0,5","9,74","1,45","0,2","0,9",0,0,,,,,,,Anhydrous,
S-20,Dann_et_al_2001,,1000,2,,,,16,"51,90","0,32","1,32","14,60",,"0,49","13,80","17,00","0,12",,,"0,14",,"0,40","0,04","0,14","0,70",,"0,04","0,40","0,69","0,02",,,"0,04",,,,"52,47","0,93","11,53","14,15",,"0,34","2,81","8,62","1,13","0,24","1,36","0,01",,,,"93,59",,,,,,,,,,,,,,,"50,8",1,"7,89",0,"19,68",0,"7,84","0,5","9,74","1,45","0,2","0,9",0,,,,,,,,25 ul,
S-21,Dann_et_al_2001,,1057,2,,,,4,"52,5","0,21","1,3","12,6",,"0,46","15,7","16,8","0,08",,,"0,39",,"1,10","0,08","0,57","0,50",,"0,01","0,50","1,20","0,02",,,"0,06",,,,"48,3","1,02","8,15","17,36",,"0,46","5,41","9,05","0,97","0,21","0,87","0,02",,,,"91,82",,,,,,,,,,,,,,,"50,8",1,"7,89",0,"19,68",0,"7,84","0,5","9,74","1,45","0,2","0,9",0,,,,,,,,15 ul,
S-22,Dann_et_al_2001,,1065,1,,,,7,"51,1","0,4","1,69","13,7",,"0,46","15,1","16,5","0,11",,,"0,34",,"1,30","0,07","0,27","0,50",,"0,03","0,30","0,60","0,03",,,"0,08",,,,"49,78","1,1","9,02","17,88",,"0,43",4,"9,6","0,98","0,21","0,97",0,,,,"93,97",,,,,,,,,,,,,,,"50,8",1,"7,89",0,"19,68",0,"7,84","0,5","9,74","1,45","0,2","0,9",0,,,,,,,,15 ul,
S-4,Dann_et_al_2001,,1145,"0,001",,,,33,"52,8","0,15","0,68","19,5",,"0,59","21,7","3,84","0,04",,,"0,35",,"0,50","0,02","0,14","0,40",,"0,03","0,40","0,27","0,02",,,"0,06",,,,"50,6","1,12","8,8","19,4",,"0,46","6,15","10,6","1,03","0,18","0,97","0,09",,,,"99,4",,,,,,,,,,,,,,,"50,8",1,"7,89",0,"19,68",0,"7,84","0,5","9,74","1,45","0,2","0,9",0,0,,,,,,,Anhydrous,
S-8,Dann_et_al_2001,,1125,"0,001",,,,29,"52,4","0,15","0,74","20,2",,"0,67","19,7","5,14","0,03",,,"0,37",,"0,50","0,03","0,10","0,40",,"0,08","0,30","0,49","0,02",,,"0,07",,,,"51,2","1,21","9,64","18,9",,"0,43","5,26","10,7","1,07","0,17","0,99","0,05",,,,"99,62",,,,,,,,,,,,,,,"50,8",1,"7,89",0,"19,68",0,"7,84","0,5","9,74","1,45","0,2","0,9",0,0,,,,,,,Anhydrous,
S-9,Dann_et_al_2001,,1075,"0,001",,,,11,"49,9","0,43","1,24","20,2",,"0,63","13,5","12,3","0,09",,,"0,36",,"0,40","0,04","0,18","1,70",,"0,06","0,50","0,19","0,02",,,"0,04",,,,"51,1","1,9","10,1","18,6",,"0,43","3,07","9,83","1,48","0,33","1,7","0,02",,,,"98,56",,,,,,,,,,,,,,,"50,8",1,"7,89",0,"19,68",0,"7,84","0,5","9,74","1,45","0,2","0,9",0,0,,,,,,,Anhydrous,
Sx-23,Dann_et_al_2001,,1170,"0,001",,,,26,"52,5","0,16","0,64","12,7",,"0,7","17,2","14,8","0,04",,,"0,32",,"0,30","0,02","0,07","0,90",,"0,06","0,60","1,40","0,02",,,"0,04",,,,"50,69","0,94","7,45","18,58",,"0,68","6,08","11,29","0,71","0,14","0,78","0,03",,,,"97,37",,,,,,,,,,,,,,,"50,77","0,8","6,41",0,"18,62",0,"8,23","0,72","12,37","1,2","0,16","0,72",0,0,,,,,,,Anhydrous,
Sy-24,Dann_et_al_2001,,1150,"0,001",,,,24,"52,31","0,16","1,18","11,9",,"0,66","16,7","16,6","0,08",,,"0,27",,"0,07","0,03","0,04","2,00",,"0,04","6,40","1,90","0,02",,,"0,24",,,,"51,47","1,04","8,29","18,87",,"0,66","5,38","11,16","0,87","0,15","0,84","0,06",,,,"98,79",,,,,,,,,,,,,,,"50,78","0,85","6,75",0,"18,86",0,"8,14","0,67","11,77","1,25","0,17","0,76",0,0,,,,,,,Anhydrous,
Sz-26,Dann_et_al_2001,,1105,"0,001",,,,26,"51,9","0,19","1,04","13,9",,"0,65","15,9",16,"0,07",,,"0,25",,"0,60","0,08","0,34","1,20",,"0,09","1,50","1,70","0,02",,,"0,14",,,,"49,23","0,91","7,68","18,36",,"0,58","6,66","10,32","0,82","0,13","0,83","0,04",,,,"95,56",,,,,,,,,,,,,,,"50,79","0,9","7,13",0,"19,13",0,"8,04","0,61","11,1","1,32","0,18","0,81",0,0,,,,,,,Anhydrous,
14_1,DiCarlo_et_al_2006,,1150,"4,1",,,,5,"51,3","0,36","3,63","5,13",,"0,13","15,9","21,1","0,26","0,05",,"0,14","0,03","0,80","0,19","0,60","1,15",,"0,07","0,80","0,30","0,04","0,02",,"0,09",,,,"48,66","0,85","16,35",6,,"0,15","6,2","10,46","2,48","2,16",0,"0,03",,"2,5",By_difference,"93,34",,,,,,,,,,,,,,,"49,8","0,8",15,"0,02","7,76",0,"0,1","8,06","12,1","2,32","1,84","0,62","0,02",,,,,,,,"Water in the glass calculated using ""the difference method""",Add 10%wt of FeO to starting comp
15_1,DiCarlo_et_al_2006,,1100,"2,1",,,,2,"52,5","0,4","2,76","4,58",,"0,21","16,5",23,"0,2",0,,"0,24","0,04","0,30","0,02","0,14","0,22",,"0,18","0,60","0,50","0,00","0,00",,"0,04",,,,"46,96","0,84","14,94","7,34",,"0,19","6,49","11,23","2,31","1,84","0,62","0,04",,"3,1",By_difference,"92,8",,,,,,,,,,,,,,,"49,8","0,8",15,"0,02","7,76",0,"0,1","8,06","12,1","2,32","1,84","0,62","0,02",,,,,,,,"Water in the glass calculated using ""the difference method""",
18_1,DiCarlo_et_al_2006,,1100,1,,,,6,"49,8","0,69","4,94","6,3",,"0,19",15,"21,5","0,37","0,15",,"0,17","0,07","0,60","0,22","1,08","0,88",,"0,08","0,80","0,80","0,12","0,13",,"0,15",,,,"51,2","1,05","16,52","7,86",,"0,17","4,89","9,39","2,98","2,54",0,"0,03",,"2,4",By_difference,"96,63",,,,,,,,,,,,,,,"49,8","0,8",15,"0,02","7,76",0,"0,1","8,06","12,1","2,32","1,84","0,62","0,02",,,,,,,,"Water in the glass calculated using ""the difference method""",
14_2,DiCarlo_et_al_2006,,1150,"4,1",,,,4,"52,1","0,63","6,33","4,62",,"0,07","14,3","19,8","0,52","0,33",,"0,17","0,07","1,00","0,12","1,26","0,64",,"0,08","0,90","1,00","0,26","0,27",,"0,04",,,,"49,61","0,86",17,"4,86",,"0,15","6,18","10,52","2,61","2,15",0,"0,04",,2,By_difference,"93,98",,,,,,,,,,,,,,,"49,8","0,8",15,"0,02","7,76",0,"0,1","8,06","12,1","2,32","1,84","0,62","0,02",,,,,,,,"Water in the glass calculated using ""the difference method""",Add 10%wt of FeO to starting comp
15_3,DiCarlo_et_al_2006,,1100,"2,1",,,,3,"53,2","0,38","2,98","4,45",,"0,03","16,3","23,6","0,21","0,07",,"0,28","0,04","0,20","0,05","0,24","0,25",,"0,04","0,30","0,20","0,06","0,01",,"0,13",,,,"47,64","0,82","15,16","7,49",,"0,18","6,55","11,51","2,29","1,83",0,"0,05",,"2,7",By_difference,"93,52",,,,,,,,,,,,,,,"49,8","0,8",15,"0,02","7,76",0,"0,1","8,06","12,1","2,32","1,84","0,62","0,02",,,,,,,,"Water in the glass calculated using ""the difference method""",
19_3,DiCarlo_et_al_2006,,1100,2,,,,2,"50,4","0,72","8,01",7,,"0,11",13,"19,4","0,78","0,55",,"0,13","0,05","0,70","0,02","2,60","0,21",,"0,04","2,40","2,00","0,39","0,54",,"0,15",,,,"48,74","0,88","16,63","8,18",,"0,1","4,91","9,28","2,93","2,55","0,76","0,02",,"1,8",By_difference,"94,98",,,,,,,,,,,,,,,"49,8","0,8",15,"0,02","7,76",0,"0,1","8,06","12,1","2,32","1,84","0,62","0,02",,,,,,,,"Water in the glass calculated using ""the difference method""",
4_3,DiCarlo_et_al_2006,,1175,"4,2",,,,7,"48,9","0,45","5,38","5,6",,"0,12","15,3","21,9","0,34","0,09",,"0,38","0,05","1,20","0,15","0,66","0,61",,"0,09","0,50","0,40","0,05","0,04",,"0,07",,,,"46,56","0,68","15,71","6,69",,"0,09","7,47","11,59","2,24","1,8","0,56","0,05",,"2,8",By_difference,"93,44",,,,,,,,,,,,,,,"49,8","0,8",15,"0,02","7,76",0,"0,1","8,06","12,1","2,32","1,84","0,62","0,02",,,,,,,,"Water in the glass calculated using ""the difference method""",
19_4,DiCarlo_et_al_2006,,1100,2,,,,5,"51,1","0,48","4,32","4,74",,"0,1","15,6","22,5","0,3","0,08",,"0,52","0,05","0,90","0,12","1,01","0,44",,"0,08","0,80","0,70","0,10","0,05",,"0,21",,,,"48,74","0,81","14,63","7,25",,"0,16","7,14","11,69","2,28","1,76",0,"0,04",,"3,6",By_difference,"94,5",,,,,,,,,,,,,,,"49,8","0,8",15,"0,02","7,76",0,"0,1","8,06","12,1","2,32","1,84","0,62","0,02",,,,,,,,"Water in the glass calculated using ""the difference method""",
21_4,DiCarlo_et_al_2006,,1150,4,,,,13,"48,6","0,67","7,11","6,43",,"0,12",14,"21,3","0,47","0,16","0,35","0,28","0,04","0,60","0,12","0,79","0,75",,"0,09","0,50","0,60","0,09","0,09","0,09","0,11",,,,"49,36","0,88","15,41","6,68",,"0,12","6,72","10,94","2,43","1,9","0,68","0,02",,"2,6",By_difference,"95,14",,,,,,,,,,,,,,,"49,8","0,8",15,"0,02","7,76",0,"0,1","8,06","12,1","2,32","1,84","0,62","0,02",,,,,,,,"Water in the glass calculated using ""the difference method""",
5_3,DiCarlo_et_al_2006,,1125,4,,,,7,"50,2","0,57","5,02","4,5",,"0,11","15,6","22,1","0,28","0,11",,"0,3","0,02","1,00","0,15","1,02","0,74",,"0,08","0,70","0,40","0,06","0,06",,"0,18",,,,"47,31","0,79","16,54","5,57",,"0,11","6,59","10,44","2,37","1,97","0,71","0,03",,"3,9",By_difference,"92,43",,,,,,,,,,,,,,,"49,8","0,8",15,"0,02","7,76",0,"0,1","8,06","12,1","2,32","1,84","0,62","0,02",,,,,,,,"Water in the glass calculated using ""the difference method""",
6_1,DiCarlo_et_al_2006,,1100,4,,,,9,"50,6","0,56","4,6","5,03",,"0,13","15,8","22,8","0,27","0,06",,"0,25","0,09","1,80","0,24","1,58","0,97",,"0,09","0,90","0,70","0,07","0,07",,"0,13",,,,"48,45","0,79","15,25","6,17",,"0,23","6,58","10,79","2,29","1,79","0,61","0,04",,"4,3",By_difference,"92,99",,,,,,,,,,,,,,,"49,8","0,8",15,"0,02","7,76",0,"0,1","8,06","12,1","2,32","1,84","0,62","0,02",,,,,,,,"Water in the glass calculated using ""the difference method""",
6_4,DiCarlo_et_al_2006,,1100,4,,,,8,"49,5","0,79","7,57","6,52",,"0,24","14,4","20,9","0,54","0,2",,"0,11","0,02","0,60","0,08","0,99","0,50",,"0,13","0,40","0,60","0,22","0,17",,"0,08",,,,"50,17","0,9","17,99","5,77",,"0,17","4,99","9,16","2,8","2,41","0,79","0,02",,"2,6",By_difference,"95,17",,,,,,,,,,,,,,,"49,8","0,8",15,"0,02","7,76",0,"0,1","8,06","12,1","2,32","1,84","0,62","0,02",,,,,,,,"Water in the glass calculated using ""the difference method""",
16_6,DiCarlo_et_al_2006,,1100,"3,1",,,,3,"53,7","0,27","2,54","3,94",,"0,04","16,3","23,8","0,17","0,11",,"0,33","0,1","0,70","0,04","0,50","0,32",,"0,07","0,30","0,40","0,06","0,03",,"0,07",,,,"47,73","0,81","15,26","7,65",,"0,18","6,29","10,73","2,32","1,54",0,"0,02",,"3,5",By_difference,"92,53",,,,,,,,,,,,,,,"49,8","0,8",15,"0,02","7,76",0,"0,1","8,06","12,1","2,32","1,84","0,62","0,02",,,,,,,,"Water in the glass calculated using ""the difference method""",
7_1,DiCarlo_et_al_2006,,1075,"4,1",,,,7,"48,9","0,84","6,02","5,99",,"0,16","14,6","22,7","0,28","0,06",,"0,15","0,02","1,60","0,31","1,56","1,56",,"0,06","0,80","0,70","0,06","0,03",,"0,11",,,,"47,95","0,83","16,07","6,56",,"0,13","5,34","9,66","2,26","1,44",0,"0,02",,"5,2",By_difference,"90,26",,,,,,,,,,,,,,,"49,8","0,8",15,"0,02","7,76",0,"0,1","8,06","12,1","2,32","1,84","0,62","0,02",,,,,,,,"Water in the glass calculated using ""the difference method""",
7_2,DiCarlo_et_al_2006,,1075,"4,1",,,,5,"49,6","0,62","5,28","5,52",,"0,13","15,2","22,7","0,33","0,11",,"0,17","0,02","1,40","0,10","1,17","1,11",,"0,10","0,90","0,90","0,12","0,16",,"0,03",,,,"47,68","0,8","16,62","6,56",,"0,14","5,09","9,66","2,36","1,43",0,0,,5,By_difference,"90,34",,,,,,,,,,,,,,,"49,8","0,8",15,"0,02","7,76",0,"0,1","8,06","12,1","2,32","1,84","0,62","0,02",,,,,,,,"Water in the glass calculated using ""the difference method""",
7_3,DiCarlo_et_al_2006,,1075,"4,1",,,,5,"49,9","0,71","6,39","6,37",,"0,13","14,9","21,1","0,43","0,18",,"0,09","0,02","0,90","0,14","1,48","0,63",,"0,15","0,70","1,30","0,25","0,21",,"0,06",,,,"48,72","0,87","17,54","6,4",,"0,16","5,16","9,27","2,6","2,1",0,0,,"3,3",By_difference,"92,82",,,,,,,,,,,,,,,"49,8","0,8",15,"0,02","7,76",0,"0,1","8,06","12,1","2,32","1,84","0,62","0,02",,,,,,,,"Water in the glass calculated using ""the difference method""",
